student_id,top_matches
S00082,"[('J00676', 0.8055635021802143), ('J03566', 0.8029399387975065), ('J01526', 0.8020509988026729), ('J03256', 0.7543317922945554), ('J04754', 0.7539150727956837)]"
S00083,"[('J03180', 1.0), ('J02085', 0.8961800719924502), ('J01304', 0.8243935038568473), ('J04885', 0.8203343613400969), ('J01940', 0.820009602674753)]"
S00084,"[('J02999', 1.0000000000000002), ('J02181', 0.9145258717659733), ('J03303', 0.9145258717659733), ('J00633', 0.8549756290072095), ('J03179', 0.8338440322902781)]"
S00085,"[('J02714', 0.728619934865064), ('J01805', 0.727006553877991), ('J04993', 0.710553700674913), ('J01238', 0.7090881982162539), ('J01413', 0.7089217397477334)]"
S00086,"[('J04873', 1.0), ('J02362', 0.8663533458129894), ('J01228', 0.8652441952095582), ('J03255', 0.7574172361579873), ('J00132', 0.7564637721789157)]"
S00087,"[('J00559', 0.7541646649619036), ('J04920', 0.7512950908948418), ('J00957', 0.7509719656849653), ('J01108', 0.7503880808006668), ('J01812', 0.726871625103681)]"
S00088,"[('J03538', 0.7546119601484941), ('J01203', 0.7309005688030281), ('J01129', 0.730024870844182), ('J03189', 0.7260104317261904), ('J00734', 0.7118017754607526)]"
S00089,"[('J01445', 1.0), ('J01663', 1.0), ('J00850', 0.8669285522712528), ('J02422', 0.8629386596419955), ('J02791', 0.7720034625447626)]"
S00090,"[('J00151', 1.0000000000000002), ('J04864', 0.8686951163192788), ('J01259', 0.8640517412269088), ('J01718', 0.7778707218089947), ('J03273', 0.7107193445573443)]"
S00091,"[('J01251', 0.8492139665751435), ('J02929', 0.810817216360327), ('J04066', 0.7977433185062949), ('J00185', 0.7320596727382378), ('J04425', 0.7261075782052614)]"
S00092,"[('J00559', 0.8668414662145717), ('J01967', 0.8351910018037454), ('J03139', 0.8206359607528684), ('J02613', 0.8187126242710596), ('J04998', 0.7755872197906548)]"
S00093,"[('J01038', 0.8649871586814118), ('J00533', 0.7558536466816252), ('J01167', 0.7512569283808869), ('J04210', 0.7494562739573734), ('J02782', 0.7490511296780217)]"
S00094,"[('J03033', 0.8720121700577272), ('J04534', 0.777834224834747), ('J01191', 0.7662153212234698), ('J02294', 0.7420814101458673), ('J01148', 0.7076307363407406)]"
S00095,"[('J00263', 1.0000000000000002), ('J00058', 0.7729124884062576), ('J00038', 0.7718900414418167), ('J02980', 0.7705285191476176), ('J02593', 0.7331760888062461)]"
S00096,"[('J04802', 0.8329582878619898), ('J00828', 0.8319900898352036), ('J00211', 0.7734950306171597), ('J03461', 0.7320590891269945), ('J01843', 0.7307815800944159)]"
S00097,"[('J00821', 0.8517030981349314), ('J04416', 0.758788645927724), ('J01743', 0.7583801152780503), ('J01393', 0.7583720640254943), ('J02282', 0.7333888439993812)]"
S00098,"[('J01657', 0.8167600209207706), ('J04636', 0.77850464841551), ('J03239', 0.7762667753854151), ('J03843', 0.7762667753854151), ('J03308', 0.7347780096280823)]"
S00099,"[('J04284', 0.7778115368883495), ('J02711', 0.7446292788051343), ('J01475', 0.7265163264975619), ('J02546', 0.7239638073257161), ('J02513', 0.6866132088434822)]"
S00100,"[('J01505', 1.0000000000000002), ('J01200', 0.8664897377214426), ('J03876', 0.8642172787961763), ('J04152', 0.8129380483108389), ('J01103', 0.7553101572182059)]"
S00101,"[('J02556', 0.8027337128110409), ('J03842', 0.8000614796979396), ('J02668', 0.7911465608373371), ('J04760', 0.7905648159180334), ('J01876', 0.7905648159180334)]"
S00102,"[('J03906', 0.7750853307154052), ('J00031', 0.7559363451080452), ('J00246', 0.7205041394030867), ('J02865', 0.7178496503575132), ('J04489', 0.7118983928037289)]"
S00103,"[('J01778', 0.8162640814964339), ('J03461', 0.7309977087110326), ('J04778', 0.730973758398984), ('J00616', 0.7305643310008927), ('J00107', 0.7296877909575556)]"
S00104,"[('J01682', 0.8197511297106388), ('J03163', 0.8181602080974779), ('J00295', 0.8165738952951328), ('J04265', 0.7586821402827902), ('J04201', 0.7578047778928686)]"
S00105,"[('J02741', 1.0000000000000002), ('J01265', 1.0000000000000002), ('J02596', 0.9265281591999017), ('J03768', 0.8501870332147812), ('J03320', 0.7719907994279009)]"
S00106,"[('J02832', 0.8304337040881713), ('J02815', 0.7318386225803497), ('J04582', 0.7315427040330849), ('J03218', 0.7308696483324084), ('J01163', 0.7300497793887022)]"
S00107,"[('J03384', 0.7723182796289377), ('J01767', 0.7714643592211895), ('J02699', 0.7714643592211895), ('J01582', 0.7319461960808945), ('J02175', 0.7292419795229059)]"
S00108,"[('J00771', 0.8937353572864508), ('J01302', 0.8641423278055284), ('J04836', 0.8637272544174158), ('J02055', 0.8131646540991289), ('J04997', 0.7978172213354591)]"
S00109,"[('J00535', 0.7814091426232495), ('J00456', 0.7462454542933373), ('J02105', 0.7427436862874846), ('J02520', 0.7237668347928533), ('J04973', 0.7089736916016518)]"
S00110,"[('J05000', 0.0), ('J01670', 0.0), ('J01663', 0.0), ('J01664', 0.0), ('J01665', 0.0)]"
S00111,"[('J03141', 0.8811701976332845), ('J03387', 0.8811701976332845), ('J00900', 0.8480937452923876), ('J02131', 0.8090810459775898), ('J00786', 0.7838209279825217)]"
S00112,"[('J04515', 0.8278212359100428), ('J02219', 0.7814047405958264), ('J01920', 0.6939745528490805), ('J04364', 0.6923370508662032), ('J02787', 0.6915245931982612)]"
S00113,"[('J00229', 0.8330741788554838), ('J02482', 0.8196374100365633), ('J04453', 0.8181064876362333), ('J01956', 0.8181064876362333), ('J01356', 0.7766044724053627)]"
S00114,"[('J02559', 1.0000000000000002), ('J03155', 1.0000000000000002), ('J01456', 0.7100239672493164), ('J02738', 0.7092440348509191), ('J02055', 0.7083851091311959)]"
S00115,"[('J02635', 1.0000000000000002), ('J02046', 0.7597637422780927), ('J01948', 0.7584818924031215), ('J00538', 0.7524057270563684), ('J00561', 0.716571435933389)]"
S00116,"[('J02397', 0.8467350745706023), ('J00031', 0.757433160875299), ('J00030', 0.7550274275851783), ('J01551', 0.7101245600760895), ('J01634', 0.7100117421307139)]"
S00117,"[('J01112', 0.8936762892244007), ('J02632', 0.8174411578448049), ('J04332', 0.7607518537010773), ('J02048', 0.7576185230166504), ('J02778', 0.7574740246647286)]"
S00118,"[('J03573', 0.8593844925302841), ('J02117', 0.8458396939279412), ('J01833', 0.8021910936153767), ('J02739', 0.7727119017303475), ('J01644', 0.7726947301722835)]"
S00119,"[('J04529', 0.8547065290135827), ('J01881', 0.7269249203421093), ('J03016', 0.7123557437891802), ('J04931', 0.712355458300965), ('J03097', 0.710457771110153)]"
S00120,"[('J00080', 0.8065873338703251), ('J04768', 0.7704203843628049), ('J02404', 0.732189705803393), ('J00834', 0.7313843395070737), ('J02984', 0.7309339605223536)]"
S00121,"[('J00711', 0.8538317690134982), ('J03924', 0.7401905039095205), ('J04963', 0.7352652111384547), ('J00552', 0.7325451555549288), ('J01496', 0.7189726787851174)]"
S00122,"[('J00793', 1.0000000000000002), ('J00837', 0.847408717819073), ('J00060', 0.8071592661887323), ('J01553', 0.806697573706314), ('J01697', 0.8019974706035664)]"
S00123,"[('J04297', 1.0000000000000002), ('J03460', 0.7505879999876723), ('J00378', 0.7480129621619556), ('J04526', 0.7241293397027971), ('J01603', 0.7215368262676984)]"
S00124,"[('J01381', 0.86731576598239), ('J00139', 0.8640260507014762), ('J03915', 0.8640260507014762), ('J02927', 0.77342629906006), ('J02266', 0.7726838342275527)]"
S00125,"[('J02517', 1.0000000000000002), ('J03991', 1.0000000000000002), ('J01062', 0.7728228059601662), ('J01719', 0.7561479687699805), ('J01491', 0.755470392444486)]"
S00126,"[('J02829', 1.0), ('J03021', 1.0), ('J01855', 1.0), ('J03146', 0.7716413738826136), ('J03441', 0.7335926231687345)]"
S00127,"[('J03095', 0.8719039245398553), ('J01116', 0.8073092951305761), ('J04595', 0.8002017855996406), ('J01453', 0.8002017855996406), ('J04841', 0.777249177298129)]"
S00128,"[('J01453', 0.8817892474137279), ('J04595', 0.8817892474137279), ('J03874', 0.7904662042671704), ('J00401', 0.7283830156861568), ('J02714', 0.7278969189229642)]"
S00129,"[('J00162', 0.8216523749925732), ('J03905', 0.7527068080402869), ('J03684', 0.735195719979703), ('J01923', 0.71558658704864), ('J00764', 0.7149990704389679)]"
S00130,"[('J01255', 0.8947977672357522), ('J01857', 0.77391961289793), ('J00789', 0.7655241910799732), ('J01523', 0.7555834043167132), ('J03014', 0.7410367351936696)]"
S00131,"[('J03275', 1.0), ('J01554', 0.8214871264694484), ('J03761', 0.8199079601870622), ('J01776', 0.816941136257551), ('J01146', 0.7590922645942224)]"
S00132,"[('J01683', 0.7577988515705558), ('J03038', 0.755962010263969), ('J04731', 0.6941362751793672), ('J02477', 0.6912518013801624), ('J02406', 0.6754870838543025)]"
S00133,"[('J02530', 0.7744796790811171), ('J01502', 0.7731900726665186), ('J00048', 0.7729995231356179), ('J00838', 0.706219930517998), ('J02644', 0.704333544603828)]"
S00134,"[('J03939', 0.8928111928173247), ('J03845', 0.865489883632372), ('J00564', 0.750624217839303), ('J02657', 0.7468276039482096), ('J02484', 0.6745712929116613)]"
S00135,"[('J01815', 0.8447046993174863), ('J03953', 0.7779660850307664), ('J03717', 0.7779660850307664), ('J00930', 0.776568498945327), ('J04481', 0.773774534952168)]"
S00136,"[('J02749', 1.0), ('J00526', 0.8199308499745066), ('J03154', 0.8199308499745066), ('J04234', 0.8156514449180312), ('J02356', 0.7715304185908736)]"
S00137,"[('J04484', 0.801668164577527), ('J00094', 0.7987034512807721), ('J04694', 0.7721707907704592), ('J01682', 0.771912702879797), ('J02683', 0.7710207069383249)]"
S00138,"[('J01247', 1.0000000000000002), ('J02672', 0.8662215113245518), ('J04382', 0.7558188881302026), ('J03592', 0.7536031236427622), ('J00686', 0.7509115688748846)]"
S00139,"[('J01945', 0.8204108850133852), ('J03162', 0.8176583720546063), ('J01220', 0.816888750003307), ('J02535', 0.8163689449653617), ('J04136', 0.7587264036574904)]"
S00140,"[('J03510', 0.926592925333963), ('J04917', 0.9131274690083939), ('J03529', 0.8693484166096224), ('J01872', 0.8690360939304691), ('J01788', 0.8350454521775782)]"
S00141,"[('J00089', 1.0), ('J04634', 0.7733399433973165), ('J02568', 0.7583829843793607), ('J04093', 0.756844570370075), ('J02657', 0.7556800716625806)]"
S00142,"[('J03193', 0.7453702201841254), ('J00905', 0.7443481433516649), ('J02725', 0.7419867016509574), ('J00390', 0.7410854919796724), ('J01743', 0.7325603705203457)]"
S00143,"[('J01773', 0.7608387819467126), ('J03117', 0.7608387819467126), ('J01166', 0.7547216139602687), ('J03016', 0.7546849989957832), ('J02625', 0.7520154527557074)]"
S00144,"[('J02571', 1.0), ('J04951', 0.9112656843984465), ('J02816', 0.8454212767751658), ('J00964', 0.7792744125978399), ('J03916', 0.7792744125978399)]"
S00145,"[('J04171', 1.0), ('J02246', 0.7742728475631588), ('J02995', 0.77185900915319), ('J03972', 0.7593792357169689), ('J04670', 0.754789333187849)]"
S00146,"[('J00003', 0.8522384380361516), ('J03058', 0.8340543274452811), ('J00434', 0.822822842391736), ('J02482', 0.8211906668854425), ('J01657', 0.8204809741437057)]"
S00147,"[('J02459', 1.0), ('J03812', 0.8661953546752995), ('J02446', 0.864496425172337), ('J04620', 0.7065285731735687), ('J02384', 0.7065019924898172)]"
S00148,"[('J00533', 0.8718904407904521), ('J00272', 0.7821660556531833), ('J04685', 0.7608090743562335), ('J04740', 0.7520372675692943), ('J04734', 0.7516218166035984)]"
S00149,"[('J01760', 0.9247332942690563), ('J02420', 0.8314408849915546), ('J01156', 0.8151494026627641), ('J02145', 0.7686943281435725), ('J03215', 0.7686943281435725)]"
S00150,"[('J02366', 0.8077915728789477), ('J01508', 0.8053941650290303), ('J04023', 0.7597341898740915), ('J04000', 0.7529904525715747), ('J02030', 0.7425403161245951)]"
S00151,"[('J05000', 0.0), ('J01670', 0.0), ('J01663', 0.0), ('J01664', 0.0), ('J01665', 0.0)]"
S00152,"[('J00461', 0.8298761200327803), ('J00758', 0.8034073814824223), ('J04721', 0.7766558628355456), ('J01421', 0.7730690694256356), ('J03654', 0.7710744925064751)]"
S00153,"[('J01491', 1.0000000000000002), ('J00005', 1.0000000000000002), ('J03422', 0.8634515989872359), ('J01493', 0.7958877152273146), ('J00844', 0.758489661584281)]"
S00154,"[('J03012', 0.7733076312422593), ('J01733', 0.7293756451300677), ('J01272', 0.7276567897353224), ('J04031', 0.7123360420019526), ('J04204', 0.7099957231909304)]"
S00155,"[('J04514', 0.8440431400695938), ('J02287', 0.755998858058727), ('J02295', 0.755998858058727), ('J00596', 0.755937667893223), ('J04676', 0.7164068476567428)]"
S00156,"[('J02531', 0.792374450124386), ('J01284', 0.7913986433802404), ('J03849', 0.7512573328495965), ('J00677', 0.7505229684007658), ('J01125', 0.7501285738467378)]"
S00157,"[('J00405', 0.8153697876523689), ('J01856', 0.8134046504620799), ('J03301', 0.7538902990496655), ('J04609', 0.7532422947543417), ('J01260', 0.7511234855496539)]"
S00158,"[('J01850', 0.8190724256257113), ('J04366', 0.8155788554993358), ('J02960', 0.7562577539338973), ('J04243', 0.7554275724093628), ('J01103', 0.7554275724093628)]"
S00159,"[('J02022', 0.804944195550954), ('J03370', 0.801731614897128), ('J03945', 0.8000089293536962), ('J01723', 0.8000089293536962), ('J01098', 0.7741643629686856)]"
S00160,"[('J02703', 1.0), ('J00508', 0.8158724307476269), ('J03677', 0.7517114184356074), ('J03068', 0.7509921550769387), ('J04467', 0.7499858563002502)]"
S00161,"[('J03175', 0.8683692343340322), ('J00710', 0.846841105228924), ('J02596', 0.7701479138258374), ('J03930', 0.7698076100254961), ('J03147', 0.7690413184952805)]"
S00162,"[('J00480', 0.8945428278156387), ('J03224', 0.8191637187536441), ('J02861', 0.8169276567983321), ('J01429', 0.8169276567983321), ('J04026', 0.7571636658504276)]"
S00163,"[('J03336', 0.8016050013353784), ('J02749', 0.7726699241158633), ('J03955', 0.7704218751442883), ('J00897', 0.7700359559205145), ('J03224', 0.7695752901508469)]"
